interaction_id,user_id,opportunity_id,interaction_type,interaction_weight,interacted_at
534,142,73,view,1,2025-12-12 19:08:54.343813
535,142,6,save,3,2025-12-12 19:08:54.343819
536,142,74,save,3,2025-11-29 19:08:54.343821
537,142,61,save,3,2025-12-14 19:08:54.343823
538,142,31,save,3,2025-12-28 19:08:54.343825
539,142,41,apply,5,2025-12-01 19:08:54.343829
540,143,20,view,1,2025-12-08 19:08:54.343847
541,143,10,view,1,2025-12-06 19:08:54.343849
542,143,61,view,1,2025-11-30 19:08:54.343851
543,143,34,view,1,2025-12-04 19:08:54.343853
544,143,44,view,1,2025-12-13 19:08:54.343855
545,143,51,view,1,2025-12-01 19:08:54.343857
546,143,11,view,1,2025-12-11 19:08:54.343859
547,143,43,view,1,2025-12-27 19:08:54.343861
548,143,49,view,1,2025-12-09 19:08:54.343863
549,143,41,view,1,2025-12-26 19:08:54.343865
550,143,44,save,3,2025-12-05 19:08:54.343870
551,143,34,save,3,2025-12-26 19:08:54.343872
552,143,10,apply,5,2025-12-14 19:08:54.343876
553,143,41,apply,5,2025-12-23 19:08:54.343878
554,144,39,view,1,2025-12-21 19:08:54.343895
555,144,4,view,1,2025-12-12 19:08:54.343898
556,144,6,view,1,2025-12-15 19:08:54.343900
557,144,42,view,1,2025-12-10 19:08:54.343902
558,144,8,view,1,2025-12-07 19:08:54.343903
559,144,38,view,1,2025-12-03 19:08:54.343905
560,144,46,view,1,2025-12-23 19:08:54.343907
561,144,48,view,1,2025-12-23 19:08:54.343909
562,144,56,view,1,2025-12-23 19:08:54.343911
563,144,19,view,1,2025-12-26 19:08:54.343912
564,144,46,save,3,2025-12-24 19:08:54.343917
565,144,42,save,3,2025-12-21 19:08:54.343919
566,144,48,save,3,2025-12-14 19:08:54.343924
567,144,8,save,3,2025-12-08 19:08:54.343926
568,144,48,apply,5,2025-12-07 19:08:54.343930
569,144,8,apply,5,2025-12-28 19:08:54.343933
570,145,37,view,1,2025-12-06 19:08:54.343950
571,145,70,view,1,2025-12-20 19:08:54.343953
572,145,21,view,1,2025-12-14 19:08:54.343955
573,145,10,view,1,2025-12-01 19:08:54.343957
574,145,57,view,1,2025-12-19 19:08:54.343959
575,145,45,view,1,2025-12-22 19:08:54.343961
576,145,39,view,1,2025-12-16 19:08:54.343963
577,145,55,view,1,2025-12-01 19:08:54.343965
578,145,70,save,3,2025-12-10 19:08:54.343974
579,145,55,save,3,2025-12-17 19:08:54.343976
580,145,10,save,3,2025-12-10 19:08:54.343978
581,145,57,apply,5,2025-12-02 19:08:54.343983
582,145,37,apply,5,2025-12-07 19:08:54.343986
583,146,36,view,1,2025-12-21 19:08:54.344005
584,146,2,view,1,2025-12-08 19:08:54.344007
585,146,73,view,1,2025-12-22 19:08:54.344009
586,146,7,view,1,2025-12-09 19:08:54.344011
587,146,64,view,1,2025-12-20 19:08:54.344013
588,146,37,view,1,2025-12-07 19:08:54.344014
589,146,30,view,1,2025-12-04 19:08:54.344016
590,146,46,view,1,2025-12-05 19:08:54.344018
591,146,73,save,3,2025-12-19 19:08:54.344023
592,146,37,save,3,2025-12-03 19:08:54.344026
593,146,36,save,3,2025-12-14 19:08:54.344027
594,146,30,save,3,2025-12-27 19:08:54.344031
595,146,73,apply,5,2025-11-29 19:08:54.344035
596,146,36,apply,5,2025-12-19 19:08:54.344037
597,147,54,view,1,2025-12-12 19:08:54.344056
598,147,23,view,1,2025-11-29 19:08:54.344058
599,147,26,view,1,2025-12-20 19:08:54.344060
600,147,17,view,1,2025-12-02 19:08:54.344062
601,147,70,view,1,2025-12-23 19:08:54.344064
602,147,47,view,1,2025-12-20 19:08:54.344068
603,147,68,view,1,2025-11-29 19:08:54.344070
604,147,68,save,3,2025-12-03 19:08:54.344076
605,147,26,save,3,2025-12-25 19:08:54.344078
606,147,47,save,3,2025-12-14 19:08:54.344080
607,147,23,apply,5,2025-12-04 19:08:54.344085
608,148,51,view,1,2025-12-20 19:08:54.344105
609,148,72,view,1,2025-12-11 19:08:54.344107
610,148,47,view,1,2025-12-25 19:08:54.344109
611,148,12,view,1,2025-12-14 19:08:54.344111
612,148,75,view,1,2025-12-17 19:08:54.344113
613,148,2,view,1,2025-12-07 19:08:54.344114
614,148,2,save,3,2025-11-28 19:08:54.344120
615,148,47,save,3,2025-12-17 19:08:54.344122
616,148,12,save,3,2025-12-25 19:08:54.344124
617,148,75,save,3,2025-12-07 19:08:54.344125
618,148,12,apply,5,2025-12-28 19:08:54.344130
619,149,72,view,1,2025-12-27 19:08:54.344148
620,149,42,view,1,2025-11-28 19:08:54.344150
621,149,29,view,1,2025-12-27 19:08:54.344152
622,149,9,view,1,2025-12-19 19:08:54.344154
623,149,60,view,1,2025-12-13 19:08:54.344156
624,149,39,view,1,2025-12-25 19:08:54.344157
625,149,53,view,1,2025-12-25 19:08:54.344159
626,149,15,view,1,2025-12-21 19:08:54.344161
627,149,18,view,1,2025-11-30 19:08:54.344163
628,149,29,save,3,2025-12-07 19:08:54.344168
629,149,53,save,3,2025-11-28 19:08:54.344170
630,149,9,save,3,2025-12-05 19:08:54.344172
631,149,18,save,3,2025-12-06 19:08:54.344174
632,149,29,apply,5,2025-12-08 19:08:54.344179
633,149,53,apply,5,2025-12-25 19:08:54.344181
